hanzi	pinyin	keyword	radical	strokeCount	hskLevel	generalStandard	frequencyRank
夜	yè	night, dark; in night; by night	夕 36.5	8	5	1209	665
省	shěng	province; save, economize	目 109.4	9	4	1474	666
初	chū	beginning, initial, primary	刀 18.5	7	5	889	667
喜	xǐ	like, love, enjoy; joyful thing	口 30.9	12	1	2523	668
卫	wèi	guard, protect, defend	乙 5.2	3	4	65	669
源	yuán	spring; source, head; surname	水 85.10	13	5	3008	670
食	shí	eat; meal; food; KangXi radical number 184	食 184.0	9	5	1589	671
险	xiǎn	narrow pass, strategic point	阜 170.7	9	4	1733	672
待	dài	treat, entertain, receive; wait	彳 60.6	9	5	1580	673
述	shù	narrate, state, express	辵 162.5	8	5	1032	674
陆	lù	land, continental; army	阜 170.5	7	5	912	675
习	xí	practice; flapping wings	冫 15.1	3	1	70	676
置	zhì	place, lay out; set aside	网 122.8	13	5	2931	677
居	jū	live, dwell, reside, sit	尸 44.5	8	3	1308	678
劳	láo	labor, toil, do manual work	力 19.5	7	5	674	679
财	cái	wealth, valuables, riches	貝 154.3	7	5	756	680
环	huán	jade ring or bracelet; ring	玉 96.4	8	3	945	681
排	pái	row, rank, line	手 64.8	11	4	2168	682
福	fú	happiness, good fortune, blessing	示 113.9	13	4	3033	683
纳	nà	admit, take, receive, accept	糸 120.4	7	5	934	684
欢	huān	happy, pleased, glad; joy; enjoy	欠 76.2	6	1	587	685
雷	léi	thunder	雨 173.5	13	5	2884	686
警	jǐng	guard, watch; alert, alarm	言 149.13	19	4	3453	687
获	huò	obtain, get, receive; seize	艸 140.7	10	4	1827	688
模	mó	model, standard, pattern; copy	木 75.11	14	5	3078	689
充	chōng	fill, be full, supply	儿 10.4	6	5	525	690
负	fù	load, burden; carry, bear	貝 154.2	6	4	503	691
云	yún	say, speak; clouds	二 7.2	4	4	82	692
停	tíng	stop, suspend, delay; suitable	人 9.9	11	4	2333	693
木	mù	tree; wood, lumber; wooden	木 75.0	4	5	87	694
游	yóu	to swim; float, drift; wander, roam	水 85.9	12	2	2766	695
龙	lóng	dragon; symbolic of emperor	龍 212.0	5	5	221	696
树	shù	tree; plant; set up, establish	木 75.5	9	3	1439	697
疑	yí	doubt, question, suspect	疋 103.9	14	4	3136	698
层	céng	storey, layer, floor, stratum	尸 44.4	7	3	902	699
冷	lěng	cold, cool; lonely	冫 15.5	7	1	838	700
洲	zhōu	continent; island; islet	水 85.6	9	4	1680	701
冲	chōng	soar; pour boiling water over	冫 15.4	6	5	511	702
射	shè	shoot, eject, issue forth, emit	寸 41.7	10	5	1971	703
略	lüè	approximately, roughly; outline	田 102.6	11	5	2277	704
范	fàn	surname; bee-like insect	艸 140.5	8 9	5	1010	705
竟	jìng	finally, after all, at last	立 117.6	11	4	2390	706
句	jù	sentence	口 30.2	5	3	288	707
室	shì	room, home, house, chamber	宀 40.6	9	2	1697	708
异	yì	different, unusual, strange	廾 55.3	6	6	568	709
激	jī	arouse, excite, incite; quickly	水 85.13	16	4	3379	710
汉	hàn	Chinese people; Chinese language	水 85.2	5	1	311	711
村	cūn	village, hamlet; uncouth, vulgar	木 75.3	7	5	682	712
哈	hā	sound of laughter	口 30.6	9	5	1510	713
策	cè	scheme, plan; to whip; urge	竹 118.6	12	6	2683	714
演	yǎn	perform, put on; exercise	水 85.11	14	4	3167	715
简	jiǎn	simple, terse, succinct, a letter	竹 118.7	13	3	2954	716
卡	kǎ	card, punch card; calorie	卜 25.3	5	3	226	717
罪	zuì	crime, sin, vice; evil; hardship	网 122.8	13	6	2932	718
判	pàn	judge; discriminate; conclude	刀 18.5	7	4	849	719
担	dān	carry, bear, undertake	手 64.5	8	3	963	720
州	zhōu	administrative division, state	巛 47.3	6	6	535	721
静	jìng	quiet, still, motionless; gentle	青 174.6	14	3	3049	722
退	tuì	step back, retreat, withdraw	辵 162.6	9	5	1720	723
既	jì	already; de facto; since; then	无 71.5	9	4	1721	724
衣	yī	clothes, clothing; cover, skin	衣 145.0	6	1	520	725
您	nín		心 61.7	11	2	2331	726
宗	zōng	lineage, ancestry; ancestor, clan	宀 40.5	8	6	1275	727
积	jī	accumulate, store up, amass	禾 115.5	10	4	1945	728
余	yú	I, my, me; surname; surplus	人 9.5	7	5	795	729
痛	tòng	pain, ache; sorry, sad; bitter	疒 104.7	12	5	2734	730
检	jiǎn	check; examine	木 75.7	11	3	2227	731
差	chà	to differ; different, wrong; nearly, almost; an officer	工 48.7	9	3	1640	732
富	fù	abundant, ample; rich, wealthy	宀 40.9	12	4	2781	733
灵	líng	spirit, soul; spiritual world	彐 58.4	7	5	900	734
协	xié	be united; cooperate	十 24.4	6	6	383	735
角	jiǎo	horn; angle, corner; point	角 148.0	7	3	814	736
占	zhàn	divine; observe; versify	卜 25.3	5	4	228	737
配	pèi	match, pair; equal; blend	酉 164.3	10	5	1858	738
征	zhēng	invade, attack, conquer	彳 60.5	8	5	1159	739
修	xiū	study; repair; cultivate	人 9.8	9	4	1560	740
皮	pí	skin, hide, fur, feather; outer	皮 107.0	5	3	336	741
挥	huī	direct; wipe away; squander	手 64.6	9	5	1396	742
胜	shèng	victory; excel, be better than	肉 130.5	9	5	1594	743
降	jiàng	descend, fall, drop; lower, down	阜 170.6	8	4	1321	744
阶	jiē	stairs, steps; rank, degree	阜 170.4	6	5	574	745
审	shěn	examine, investigate; judge	宀 40.5	8	6	1279	746
沉	chén	sink, submerge; addicted to	水 85.4	7	5	871	747
坚	jiān	hard, strong, firm; resolute	土 32.4	7	4	712	748
善	shàn	good, virtuous, charitable, kind	口 30.9	12	5	2738	749
妈	mā	mother, mama	女 38.3	6	1	583	750
刘	liú	surname; kill, destroy	刀 18.4	6		517	751
读	dú	read, study; pronounce	言 149.8	10	1	2112	752
啊	a	exclamatory particle	口 30.8	10	3	1915	753
超	chāo	jump over, leap over; surpass	走 156.5	12	3	2517	754
免	miǎn	spare; excuse from; evade	儿 10.5	7	4	810	755
压	yā	press; oppress; crush; pressure	厂 27.4	6	4	385	756
银	yín	silver; cash, money, wealth	金 167.6	11	3	2309	757
买	mǎi	buy, purchase; bribe, persuade	大 37.3	6	1	588	758
皇	huáng	royal, imperial; ruler, superior	白 106.4	9	6	1571	759
养	yǎng	raise, rear, bring up; support	八 12.7	9	4	1641	760
伊	yī	third person pronoun; he, she, this, that	人 9.4	6		478	761
怀	huái	bosom, breast; carry in bosom	心 61.4	7	4	873	762
执	zhí	hold in hand; keep; carry out	手 64.3	6	5	363	763
副	fù	assist; supplement; assistant	刀 18.9	11	6	2234	764
乱	luàn	confusion, state of chaos, revolt	乙 5.6	7	4	762	765
抗	kàng	resist, oppose, defy, reject	手 64.4	7	6	646	766
犯	fàn	commit crime, violate; criminal	犬 94.2	5	6	292	767
追	zhuī	pursue, chase after; expel	辵 162.6	9	5	1577	768
帮	bāng	help, assist; defend; shoe upper	巾 50.7	9	2	1356	769
宣	xuān	declare, announce, proclaim	宀 40.6	9	5	1695	770
佛	fú	Buddha; of Buddhism; merciful person; Buddhist image; the dead (Jap.)	人 9.5	7	5	789	771
岁	suì	year; age; harvest	山 46.3	6	1	436	772
航	háng	sail; navigate; ship, boat	舟 137.4	10	4	1981	773
优	yōu	superior, excellent; actor	人 9.4	6	4	461	774
怪	guài	strange, unusual, peculiar	心 61.5	8	3	1271	775
香	xiāng	fragrant, sweet smelling, incense	香 186.0	9	3	1548	776
著	zhe	manifest; (Cant.) to wear	艸 140.8	11	4	2198	777
田	tián	field, arable land, cultivated	田 102.0	5	6	244	778
铁	tiě	iron; strong, solid, firm	金 167.5	10	3	1932	779
控	kòng	accuse, charge; control	手 64.8	11	5	2187	780
税	shuì	taxes	禾 115.7	12	5	2679	781
左	zuǒ	left; east; unorthodox, improper	工 48.2	5	2	214	782
右	yòu	right; west; right-wing	口 30.2	5	2	217	783
份	fèn	portion, part; duty	人 9.4	6	4	471	784
穿	chuān	penetrate, pierce, drill; wear	穴 116.4	9	2	1701	785
艺	yì	art; talent, ability; craft	艸 140.1	4	4	86	786
背	bèi	back; back side; behind; betray	肉 130.5	9	5	1467	787
阵	zhèn	column, row or file of troops	阜 170.4	6	5	571	788
草	cǎo	grass, straw, thatch, herbs	艸 140.6	9	3	1408	789
脚	jiǎo	leg, foot; base, leg, foundation	肉 130.7	11	3	2355	790
概	gài	generally, approximately	木 75.9	13	4	2871	791
恶	è	evil, wicked, bad, foul	心 61.6	10	5	1829	792
块	kuài	piece, lump; dollar	土 32.4	7	1	652	793
顿	dùn	pause, stop; bow, kowtow; arrange	頁 181.4	10	5	1877	794
敢	gǎn	to dare, venture; bold, brave	攴 66.8	11	4	2470	795
守	shǒu	defend, protect, guard, conserve	宀 40.3	6	5	546	796
酒	jiǔ	wine, spirits, liquor, alcoholic beverage	酉 164.3	10	3	2069	797
岛	dǎo	island	山 46.4	7	5	820	798
托	tuō	to hold up with palm; to support, rely on	手 64.3	6	5	359	799
央	yāng	center, conclude, run out; beg	大 37.2	5	6	249	800
户	hù	door; family	戶 63.0	4	4	170	801
烈	liè	fiery, violent, vehement, ardent	火 86.6	10	5	1871	802
洋	yáng	ocean, sea; foreign; western	水 85.6	9	4	1679	803
哥	gē	elder brother	口 30.7	10	2	1852	804
索	suǒ	large rope, cable; rules, laws; to demand, to exact; to search, inquire; isolated	糸 120.4	10	5	1851	805
胡	hú	recklessly, foolishly; wildly	肉 130.5	9	5	1419	806
款	kuǎn	item, article; clause; fund	欠 76.8	12	4	2508	807
靠	kào	lean on, trust, depend on; near	非 175.7	15	5	3259	808
评	píng	appraise, criticize, evaluate	言 149.5	7	4	887	809
版	bǎn	printing blocks; edition	片 91.4	8	5	1143	810
宝	bǎo	treasure, jewel; precious, rare	宀 40.5	8	5	1274	811
座	zuò	seat; stand, base	广 53.7	10	4	2025	812
释	shì	interprete, elucidate; release	釆 165.5	12	4	2710	813
景	jǐng	scenery, view; conditions	日 72.8	12	4	2626	814
顾	gù	look back; look at; look after	頁 181.4	10	3	1874	815
弟	dì	young brother; junior; i, me	弓 57.4	7	2	854	816
登	dēng	rise, mount, board, climb	癶 105.7	12	4	2813	817
货	huò	goods, commodities, products	貝 154.4	8	4	1151	818
互	hù	mutually, reciprocally	二 7.2	4	4	106	819
付	fù	give, deliver, pay, hand over; entrust	人 9.3	5	4	269	820
伯	bó		人 9.5	7	6	778	821
慢	màn	slow(ly), leisurely, sluggish	心 61.11	14	2	3169	822
欧	ōu	translit.: Europe; ohm; surname	欠 76.4	8	5	1053	823
换	huàn	change	手 64.7	10	3	1806	824
闻	wén	hear; smell; make known; news	門 169.6	9	3	1636	825
危	wēi	dangerous, precarious; high	卩 26.4	6	4	499	826
忙	máng	busy, pressed for time; hustling	心 61.3	6	2	543	827
核	hé	seed, kernel, core, nut; atom	木 75.6	10	5	1848	828
暗	àn	dark; obscure; in secret, covert	日 72.9	13	5	2909	829
姐	jiě	elder sister, young lady	女 38.5	8	1	1326	830
介	jiè	forerunner, herald, harbinger; to lie between; sea shell; to wear armor	人 9.2	4	2	140	831
坏	huài	rotten, spoilt, bad, broken down	土 32.4	7	3	616	832
讨	tǎo	to discuss; ask for, beg; demand; dun; marry	言 149.3	5	4	315	833
丽	lì	beautiful, magnificent, elegant	丶 3.7	7	4	699	834
良	liáng	good, virtuous, respectable	艮 138.1	7	5	884	835
序	xù	series, serial order, sequence	广 53.4	7	4	840	836
升	shēng	arise, go up; hoist; advance	十 24.2	4	5	125	837
监	jiān	supervise, control, direct	皿 108.5	10	6	1883	838
临	lín	draw near, approach; descend	丨 2.8	9	5	1471	839
亮	liàng	bright, brilliant, radiant, light	亠 8.7	9	1	1621	840
露	lù	dew; bare, open, exposed	雨 173.12	21	6	3490	841
永	yǒng	long, perpetual, eternal, forever	水 85.1	5	4	324	842
呼	hū	breathe sigh, exhale; call, shout	口 30.5	8	4	1099	843
味	wèi	taste, smell, odor; delicacy	口 30.5	8	4	1078	844
野	yě	open country, field; wilderness	里 166.4	11	6	2265	845
架	jià	rack, stand, prop; prop up	木 75.5	9	5	1743	846
域	yù	district, region, boundary; land	土 32.8	11	5	2164	847
沙	shā	sand, gravel, pebbles; granulated	水 85.4	7	4	860	848
掉	diào	turn, move; shake, wag; drop down	手 64.8	11	4	2170	849
括	kuò	include, embrace, enclose	手 64.6	9	5	1383	850
舰	jiàn	warship	舟 137.4	10	6	1978	851
鱼	yú	fish; surname; KangXi radical 195	魚 195.0	8	2	1194	852
杂	zá	mixed, blended; mix, mingle	木 75.2	6	4	498	853
误	wù	err, make mistake; interfere	言 149.7	9	4	1714	854
湾	wān	bay, cove, inlet, bend of stream	水 85.9	12	6	2764	855
吉	jí	lucky, propitious, good	口 30.3	6	6	356	856
减	jiǎn	decrease, subtract, diminish	冫 15.9	11	4	2375	857
编	biān	knit, weave; arrange; compile	糸 120.9	12	5	2822	858
楚	chǔ	name of feudal state; clear	木 75.9	13	3	2864	859
肯	kěn	willing; consent to, permit	肉 130.4	8	4	1067	860
测	cè	measure, estimate, conjecture	水 85.6	9	5	1670	861
败	bài	be defeated, decline, fail	貝 154.4	8	4	1113	862
屋	wū	house; room; building, shelter	尸 44.6	9	5	1722	863
跑	pǎo	run, flee, leave in hurry	足 157.5	12	2	2631	864
梦	mèng	dream; visionary; wishful	木 75.7	11	4	2221	865
散	sàn	scatter, disperse, break up	攴 66.8	12	4	2546	866
温	wēn	lukewarm	水 85.9	12	4	2757	867
困	kùn	to surround, beseige; to be surrounded; difficult	囗 31.4	7	4	734	868
剑	jiàn	sword, dagger, saber	刀 18.7	9	6	1587	869
渐	jiàn	gradually	水 85.8	11	5	2417	870
封	fēng	letter, envelope; feudal	寸 41.6	9	4	1366	871
救	jiù	save, rescue, relieve; help, aid	攴 66.7	11	5	2232	872
贵	guì	expensive, costly, valuable	貝 154.5	9	2	1495	873
枪	qiāng	spear, lance; gun, rifle	木 75.4	8	5	1027	874
缺	quē	be short of, lack; gap, deficit	缶 121.4	10	4	1935	875
楼	lóu	building of two or more stories	木 75.9	13	3	2870	876
县	xiàn	county, district, subdivision	厶 28.5	7	5	720	877
尚	shàng	still, yet; even; fairly, rather	小 42.5	8	5	1075	878
毫	háo	fine hair; measure of length	毛 82.7	11	5	2376	879
移	yí	change place, shift; move about	禾 115.6	11	5	2316	880
娘	niáng	mother; young girl; woman; wife	女 38.7	10	5	2144	881
朋	péng	friend, pal, acquaintance	月 74.4	8	1	1185	882
画	huà	a painting, picture, drawing; to draw	田 102.3	8	3	1036	883
班	bān	class, group, grade; squad; job	玉 96.6	10	2	1774	884
智	zhì	wisdom, knowledge, intelligence	日 72.8	12	5	2670	885
亦	yì	also, too; likewise	亠 8.4	6	6	516	886
耳	ěr	ear; merely, only; handle	耳 128.0	6	3	369	887
恩	ēn	kindness, mercy, charity	心 61.6	10	6	1909	888
短	duǎn	short; brief; deficient, lacking	矢 111.7	12	3	2669	889
掌	zhǎng	palm of hand, sole of foot, paw	手 64.8	12	5	2610	890
恐	kǒng	fear; fearful, apprehensive	心 61.6	10	4	1810	891
遗	yí	lose; articles lost; omit	辵 162.9	12	5	2633	892
固	gù	to become solid, solidify; strength	囗 31.5	8	5	1093	893
席	xí	seat; mat; take seat; banquet	巾 50.7	10	5	2023	894
松	sōng	pine tree; fir tree	木 75.4	8	4	1026	895
秘	mì	secret, mysterious, abstruse	禾 115.5	10	5	1949	896
谢	xiè	thank; decline	言 149.10	12	1	2795	897
鲁	lǔ	foolish, stupid, rash; vulgar	魚 195.4	12	6	2717	898
遇	yù	meet, come across, encounter	辵 162.9	12	3	2622	899
康	kāng	peaceful, quiet; happy, healthy	广 53.8	11	3	2385	900
虑	lǜ	be concerned, worry about	心 61.6	10	4	1882	901
幸	xìng	luck(ily), favor, fortunately	干 51.5	8	4	983	902
均	jūn	equal, even, fair; all, also	土 32.4	7	5	640	903
销	xiāo	melt, fuse; market, sell	金 167.7	12	5	2659	904
钟	zhōng	clock; bell	金 167.4	9	1	1528	905
诗	shī	poetry; poem, verse, ode	言 149.6	8	5	1288	906
藏	cáng	hide, conceal; hoard, store up	艸 140.14	17	5	3392	907
赶	gǎn	pursue, follow; expel, drive away	走 156.3	10	4	1788	908
剧	jù	theatrical plays, opera, drama	刀 18.8	10	4	2132	909
票	piào	slip of paper or bamboo; ticket	示 113.6	11	2	2235	910
损	sǔn	diminish; impair; injure	手 64.7	10	5	1798	911
忽	hū	suddenly, abruptly; neglect	心 61.4	8	5	1197	912
巨	jù	large, great, enormous; chief	工 48.2	4	5	101	913
炮	pào	large gun, cannon; artillery	火 86.5	9	5	1658	914
旧	jiù	old, ancient; former, past	日 72.1	5	3	232	915
端	duān	end, extreme; head; beginning	立 117.9	14	6	3151	916
探	tàn	find, locate; search, grope for	手 64.8	11	6	2188	917
湖	hú	a lake; Hubei, Hunan; bluish-green	水 85.9	12	6	2751	918
录	lù	copy, write down, record	彐 58.5	8	5	1304	919
叶	yè	to harmonize, to rhyme; to unite; (borrowed for) leaf	口 30.2	5	4	238	920
春	chūn	spring; wanton	日 72.5	9	3	1355	921
乡	xiāng	country; rural; village	幺 52.0	3	5	73	922
附	fù	adhere to, append; rely on near to	阜 170.5	7	3	916	923
吸	xī	inhale, suck in; absorb; attract	口 30.4	6	4	431	924
予	yǔ	I, me; to give	亅 6.3	4	6	184	925
礼	lǐ	social custom; manners; courtesy	示 113.1	5	3	318	926
港	gǎng	port, harbor; small stream; bay	水 85.9	12	6	2749	927
雨	yǔ	rain; rainy; KangXi radical 173	雨 173.0	8	1	1041	928
呀	ya	particle used to express surprise or mild emphasis; (Cant.) slurred form of the number ten	口 30.4	7	4	729	929
板	bǎn	plank, board; iron or tin plate	木 75.4	8	3	1025	930
庭	tíng	courtyard; spacious hall or yard	广 53.7	9	5	1624	931
妇	fù	married women; woman; wife	女 38.3	6	5	579	932
归	guī	return; return to, revert to	彐 58.2	5	5	234	933
睛	jīng	eyeball; pupil of eye	目 109.8	13	2	2895	934
饭	fàn	cooked rice; food, meal	食 184.4	7	1	823	935
额	é	forehead; tablet, plaque; fixed	頁 181.9	15	6	3304	936
含	hán	hold in mouth; cherish; contain	口 30.4	7	5	800	937
顺	shùn	obey, submit to, go along with	頁 181.3	9	4	1559	938
输	shū	transport, carry, haul	車 159.9	13	4	2890	939
摇	yáo	wag, swing, wave; shake; scull	手 64.10	13	5	2841	940
招	zhāo	beckon, summon; recruit, levy	手 64.5	8	4	988	941
婚	hūn	get married; marriage, wedding	女 38.8	11	3	2481	942
脱	tuō	take off	肉 130.7	11	4	2360	943
补	bǔ	mend, patch, fix, repair, restore	衣 145.2	7	5	888	944
谓	wèi	say, tell; call, name; be called	言 149.9	11	5	2466	945
督	dū	supervise, oversee, direct	目 109.8	13	6	2891	946
毒	dú	poison, venom; poisonous	毋 80.4	9	5	1362	947
油	yóu	oil, fat, grease, lard; paints	水 85.5	8	4	1248	948
疗	liáo	be healed, cured, recover	疒 104.2	7	5	834	949
旅	lǚ	trip, journey; travel; traveler	方 70.6	10	2	2046	950
泽	zé	marsh, swamp; grace, brilliance	水 85.5	8	6	1263	951
材	cái	material, stuff; timber; talent	木 75.3	7	4	681	952
灭	miè	extinguish; wipe out, exterminate	火 86.1	5	6	223	953
逐	zhú	chase, expel; one by one	辵 162.7	10	5	1870	954
莫	mò	do not, is not, can not; negative	艸 140.7	10	6	1824	955
笔	bǐ	writing brush; write; stroke	竹 118.4	10	2	1951	956
亡	wáng	death, destroyed; lose, perish	亠 8.1	3	6	54	957
鲜	xiān	fresh; delicious; attractive	魚 195.6	14	3	3135	958
词	cí	words; phrase, expression	言 149.5	7	3	897	959
圣	shèng	holy, sacred	土 32.2	5	6	340	960
择	zé	select, choose, pick out	手 64.5	8	3	992	961
寻	xún	seek, search, look for; ancient	彐 58.3	6	5	563	962
厂	chǎng	factory, workshop; radical 27	厂 27.0	2	5	6	963
睡	shuì	sleep, doze	目 109.8	13	1	2900	964
博	bó	gamble, play games; wide, broad	十 24.10	12	4	2521	965
勒	lēi	strangle, tighten	力 19.9	11		2200	966
烟	yān	smoke, soot; opium; tobacco, cigarettes	火 86.6	10	4	2062	967
授	shòu	give to, transmit; confer	手 64.8	11	4	2177	968
诺	nuò	promise; assent, approve	言 149.8	10	6	2111	969
伦	lún	normal human relationships	人 9.4	6	6	470	970
岸	àn	bank, shore; beach, coast	山 46.5	8	5	1105	971
奥	ào	mysterious, obscure, profound	大 37.9	12	6	2701	972
唐	táng	Tang dynasty; Chinese	口 30.7	10	6	2037	973
卖	mài	sell; betray; show off	十 24.6	8	2	1042	974
俄	é	sudden(ly), soon; Russian	人 9.7	9		1564	975
炸	zhà	to fry in oil; to scald; to explode	火 86.5	9	5	1656	976
载	zài	load; carry; transport, convey	戈 62.6	10	5	1787	977
洛	luò	river in Shanxi province; city	水 85.6	9		1676	978
健	jiàn	strong, robust, healthy; strength	人 9.9	10	3	1969	979
堂	táng	hall; government office	土 32.8	11	6	2256	980
旁	páng	side; by side, close by, near	方 70.6	10	2	2045	981
宫	gōng	palace	宀 40.6	9	6	1698	982
喝	hē	drink; shout, call out	口 30.9	12	1	2639	983
借	jiè	borrow; lend; make pretext of	人 9.8	10	3	1955	984
君	jūn	sovereign, monarch, ruler, chief, prince	口 30.4	7	6	899	985
禁	jìn	restrict, prohibit, forbid	示 113.8	13	4	2863	986
阴	yīn		阜 170.4	6	2	575	987
园	yuán	garden; park, orchard	囗 31.4	7	3	726	988
谋	móu	plan, scheme; strategem	言 149.9	11	6	2459	989
宋	sòng	Song dynasty; surname	宀 40.4	7		878	990
避	bì	avoid; turn aside; escape; hide	辵 162.13	16	5	3385	991
抓	zhuā	scratch; clutch, seize, grab	手 64.4	7	5	633	992
荣	róng	glory, honor; flourish, prosper	艸 140.6	9	5	1415	993
姑	gū		女 38.5	8	5	1325	994
孙	sūn	grandchild, descendent; surname	子 39.3	6	4	570	995
逃	táo	escape, flee; abscond, dodge	辵 162.6	9	5	1588	996
牙	yá	tooth, molars, teeth; serrated	牙 92.0	4	3	102	997
束	shù	bind, control, restrain; bale	木 75.3	7	3	694	998
跳	tiào	jump, leap, vault, bounce; dance	足 157.6	13	2	2915	999
顶	dǐng	top, summit, peak; to carry on the head	頁 181.2	8	5	971	1000